Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02,3559.3533673724755,3559.3533673724755,3458.2080078125,3458.2080078125,4437900,0.0,0.0
2015-01-02,3458.208160227975,3458.208160227975,3405.227255266265,3410.043701171875,5381900,0.0,0.0
2015-01-02,3371.5120488947086,3453.391627225009,3371.5120488947086,3390.77783203125,4670200,0.0,0.0
2015-01-02,3448.575268416755,3458.208160227975,3385.961471643825,3410.043701171875,5667500,0.0,0.0
2015-01-02,3448.5753085771744,3448.5753085771744,3371.512173189975,3405.227294921875,10796600,0.0,0.0
2015-01-02,3419.6766052246094,3491.923294067383,3400.4108215332035,3467.841064453125,10528600,0.0,0.0
2015-01-02,3467.840938807531,3501.5560590459377,3438.9422643174685,3453.3916015625,4815200,0.0,0.0
2015-01-02,3429.309564779568,3429.309564779568,3371.512212564182,3400.410888671875,7400100,0.0,0.0
2015-01-02,3376.32841760706,3395.5942003038194,3251.100830078125,3251.100830078125,10310000,0.0,0.0
2015-01-02,3202.9365234375,3289.632549635808,3174.037848038064,3202.9365234375,12807700,0.0,0.0
2015-01-02,3188.4871000673693,3217.3857746903363,3164.404871214897,3183.670654296875,4121600,0.0,0.0
2015-01-02,3227.0185236740676,3270.36653369357,3217.3856325586225,3260.733642578125,5972600,0.0,0.0
2015-01-02,3275.18312645505,3371.5120419390223,3275.18312645505,3361.879150390625,7369600,0.0,0.0
2015-01-02,3371.512068031478,3390.7778512773725,3279.999597613481,3299.265380859375,6916000,0.0,0.0
2015-01-02,3361.879275421273,3390.777951141227,3337.7970456546454,3376.32861328125,7988900,0.0,0.0
2015-01-02,3371.512016800721,3429.309365660162,3361.8791253241475,3424.492919921875,8112800,0.0,0.0
2015-01-02,3395.5942778153853,3419.6765067360616,3361.879157326438,3390.77783203125,8390600,0.0,0.0
2015-01-02,3400.410659492514,3472.6573448924964,3342.6133111725276,3458.2080078125,11636800,0.0,0.0
2015-01-02,3458.208000268829,3472.657337317306,3424.492880489049,3429.309326171875,3316000,0.0,0.0
2015-01-02,3438.9422424054455,3438.9422424054455,3361.8791109229705,3366.695556640625,3837400,0.0,0.0
2015-01-02,3371.511867357337,3385.961203931726,3323.347412109375,3323.347412109375,4690300,0.0,0.0
2015-01-02,3347.429791618796,3381.144911822151,3275.18310546875,3275.18310546875,4757200,0.0,0.0
2015-01-02,3308.8982586570164,3328.1640418224138,3231.835125995426,3241.468017578125,8198900,0.0,0.0
2015-01-02,3275.1829792512926,3313.7145437130725,3255.9171970204025,3260.733642578125,7773300,0.0,0.0
2015-01-02,3279.9995512120863,3284.815996955423,3241.4679852653953,3275.18310546875,3669100,0.0,0.0
2015-01-02,3313.714783059675,3429.309484794315,3299.265445342845,3410.043701171875,13004600,0.0,0.0
2015-01-02,3429.309412098464,3540.0876655791726,3410.0436288844276,3448.5751953125,15389000,0.0,0.0
2015-01-02,3448.574942231514,3487.1065058318663,3395.59404228103,3419.67626953125,6932700,0.0,0.0
2015-01-02,3434.1257402316587,3463.0244140625,3381.144838208449,3463.0244140625,2541400,0.0,0.0
2015-01-02,3448.5752020753985,3487.106768579034,3410.0436355717625,3477.473876953125,7792500,0.0,0.0
