Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02,492.73228515625,538.178466796875,491.5363330078125,538.178466796875,110443000,0.0,0.0
2015-01-02,538.1783822866587,547.1480219914363,529.8067185621995,544.1581420898438,83674500,0.0,0.0
2015-01-02,538.1783822866587,545.3540940504807,532.1986224834735,544.1581420898438,50033500,0.0,0.0
2015-01-02,544.1582324326301,549.5400171489968,538.7764477162634,542.9622802734375,59362500,0.0,0.0
2015-01-02,544.1583732229765,553.7259929719519,544.1583732229765,547.1482543945312,63236000,0.0,0.0
2015-01-02,547.7461422600264,552.5299513627341,547.7461422600264,550.7360229492188,66534500,0.0,0.0
2015-01-02,550.735912806082,550.735912806082,544.1581766053579,547.7460327148438,27551000,0.0,0.0
2015-01-02,553.1279252945662,553.1279252945662,544.1582832627624,548.3441162109375,41616000,0.0,0.0
2015-01-02,541.766357421875,550.1380229891005,541.766357421875,541.766357421875,28255500,0.0,0.0
2015-01-02,547.7460327148438,549.5399607695867,541.7662725323673,547.7460327148438,37554000,0.0,0.0
2015-01-02,547.7460644956768,550.7359447603911,544.1582081780195,548.9420166015625,39005000,0.0,0.0
2015-01-02,549.5399823579978,550.7359344414755,532.1986771475714,539.3743896484375,38226500,0.0,0.0
2015-01-02,539.3743896484375,539.9723656901764,535.7865333980044,539.3743896484375,44586500,0.0,0.0
2015-01-02,541.1684920514216,549.5401593317752,538.1786108798668,547.1482543945312,43821000,0.0,0.0
2015-01-02,550.1380229891005,550.7359991010451,539.3744529740962,541.766357421875,57694000,0.0,0.0
2015-01-02,549.5400700590536,550.1380461962234,526.219000709431,533.3947143554688,153945000,0.0,0.0
2015-01-02,537.5806237423059,538.7765761866714,529.2089566317471,532.7968139648438,57037500,0.0,0.0
2015-01-02,538.1785692723868,554.9219025386388,534.5907121439042,551.3340454101562,97770000,0.0,0.0
2015-01-02,550.7360397933365,556.1178251984832,549.5400874810817,552.5299682617188,35309000,0.0,0.0
2015-01-02,550.1380719124003,563.8915237102103,548.3441434170337,562.0975952148438,65919500,0.0,0.0
2015-01-02,564.4893919728435,568.0772482777556,559.705583566294,561.49951171875,48198500,0.0,0.0
2015-01-02,560.9016068653393,560.9016068653393,549.5400604576192,556.1177978515625,40661500,0.0,0.0
2015-01-02,555.5198298363805,559.7056627845557,548.3441162109375,548.3441162109375,41392000,0.0,0.0
2015-01-02,554.3238010780484,555.5197531839342,548.3440405486197,548.9420166015625,43345500,0.0,0.0
2015-01-02,550.138042403991,550.138042403991,545.9522094726562,545.9522094726562,31165000,0.0,0.0
